viewDate,areaMunKm,areaUcKm,uc,uf,municipio
27/05/2021,0.18,0,,TO,Couto Magalhães
30/05/2021,0.16,0,,TO,Wanderlândia
25/08/2021,1.41,0,,TO,Ponte Alta do Tocantins
25/08/2021,0.36,0,,TO,Recursolândia
30/05/2021,0.55,0,,TO,Wanderlândia
27/05/2021,1.6,0,,TO,Itacajá
25/08/2021,0.59,0,,TO,Recursolândia
27/05/2021,1.12,0,,TO,Goiatins
27/05/2021,0.8,0,,TO,Santa Maria do Tocantins
30/05/2021,0.1,0,,TO,Arraias
27/05/2021,0.76,0,,TO,Santa Maria do Tocantins
25/08/2021,0.1,0,,TO,Ponte Alta do Bom Jesus
27/05/2021,0.21,0,,TO,Itacajá
27/05/2021,0.26,0,,TO,Itacajá
27/05/2021,0.75,0,,TO,Santa Maria do Tocantins
27/05/2021,1.42,0,,TO,Itacajá
30/05/2021,0.23,0,,TO,Wanderlândia
27/05/2021,0.26,0,,TO,Santa Maria do Tocantins
27/05/2021,0.71,0,,TO,Araguacema
27/05/2021,0.14,0,,TO,Araguacema
27/05/2021,0.54,0,,TO,Conceição do Tocantins
27/05/2021,0.36,0,,TO,Tupirama
27/05/2021,0.12,0,,TO,Conceição do Tocantins
30/05/2021,0.16,0,,TO,Wanderlândia
27/05/2021,0.16,0,,TO,Dois Irmãos do Tocantins
27/05/2021,0.1,0,,TO,Centenário
27/05/2021,0.09,0,,TO,Dois Irmãos do Tocantins
27/05/2021,0.53,0,,TO,Conceição do Tocantins
27/05/2021,0.1,0,,TO,Centenário
27/05/2021,0.26,0,,TO,Dois Irmãos do Tocantins
30/05/2021,0.04,0,,TO,Darcinópolis
24/08/2021,0.93,0,,TO,Marianópolis do Tocantins
27/05/2021,0.05,0,,TO,Abreulândia
27/05/2021,0.3,0,,TO,São Félix do Tocantins
27/05/2021,1.01,1.01,PARQUE NACIONAL DAS NASCENTES DO RIO PARNAÍBA,TO,São Félix do Tocantins
27/05/2021,0.27,0,,TO,Santa Maria do Tocantins
30/05/2021,0.64,0,,TO,Wanderlândia
24/08/2021,0.17,0,,TO,Formoso do Araguaia
24/08/2021,0.21,0,,TO,Formoso do Araguaia
24/08/2021,0.08,0,,TO,Formoso do Araguaia
24/08/2021,0.21,0,,TO,Santa Rita do Tocantins
27/05/2021,0.2,0,,TO,Rio Sono
30/05/2021,0.1,0,,TO,Wanderlândia
27/05/2021,0.13,0,,TO,Araguacema
24/08/2021,0.1,0,,TO,Marianópolis do Tocantins
27/05/2021,0.23,0,,TO,Rio Sono
24/08/2021,0.1,0,,TO,Araguatins
27/05/2021,0.4,0,,TO,Monte do Carmo
27/05/2021,0.63,0,,TO,Abreulândia
24/08/2021,0.34,0,,TO,Pium
24/08/2021,0.08,0,,TO,Marianópolis do Tocantins
24/08/2021,0.79,0,,TO,Pium
24/08/2021,0.12,0,,TO,Santa Rita do Tocantins
27/05/2021,1.59,0,,TO,Dianópolis
27/05/2021,0.68,0,,TO,Rio Sono
24/08/2021,0.18,0,,TO,Araguatins
30/05/2021,0.05,0,,TO,Wanderlândia
21/08/2021,4.42,0,,TO,Lagoa da Confusão
30/05/2021,0.15,0,,TO,Wanderlândia
24/08/2021,0.12,0,,TO,Araguatins
30/05/2021,0.17,0,,TO,Wanderlândia
27/05/2021,0.52,0,,TO,Lagoa da Confusão
27/05/2021,0.97,0,,TO,Dianópolis
27/05/2021,0.39,0,,TO,Natividade
27/05/2021,1.07,0,,TO,Monte do Carmo
21/10/2021,1.1,0,,TO,Formoso do Araguaia
27/05/2021,0.21,0,,TO,Natividade
30/05/2021,0.14,0,,TO,Darcinópolis
27/05/2021,1.01,0,,TO,Almas
27/05/2021,0.39,0,,TO,Paranã
22/08/2021,0.48,0,,TO,Arraias
27/05/2021,0.11,0,,TO,Paranã
22/08/2021,0.43,0,,TO,Taguatinga
30/05/2021,0.08,0,,TO,Darcinópolis
27/05/2021,1.59,0,,TO,Paranã
27/05/2021,0.09,0,,TO,Paranã
21/08/2021,0.08,0,,TO,Caseara
21/08/2021,0.04,0,,TO,Caseara
21/08/2021,0.27,0,,TO,Araguacema
21/08/2021,0.07,0,,TO,Araguacema
28/09/2021,2.76,0,,TO,Rio Sono
27/05/2021,0.06,0,,TO,Paranã
21/08/2021,0.38,0,,TO,Araguacema
21/08/2021,0.64,0,,TO,Abreulândia
21/05/2021,0.3,0,,TO,Taguatinga
07/06/2021,0.14,0,,TO,Nova Olinda
28/09/2021,0.72,0,,TO,Monte do Carmo
28/09/2021,0.08,0,,TO,Palmas
07/06/2021,0.07,0,,TO,Araguacema
28/09/2021,0.62,0,,TO,Palmeirante
03/07/2021,0.25,0,,TO,Dueré
14/04/2021,0.12,0,,TO,Conceição do Tocantins
14/04/2021,0.24,0,,TO,Arraias
07/06/2021,0.1,0,,TO,Goianorte
02/06/2021,0.07,0,,TO,Goiatins
07/06/2021,0.15,0,,TO,Couto Magalhães
07/06/2021,0.57,0,,TO,Araguaçu
28/09/2021,0.46,0,,TO,Araguaçu
28/09/2021,0.58,0,,TO,Rio Sono
07/06/2021,0.46,0,,TO,Pium
07/06/2021,0.27,0,,TO,Araguacema
07/06/2021,0.3,0,,TO,Goianorte
07/06/2021,0.24,0,,TO,Dois Irmãos do Tocantins
28/09/2021,0.51,0,,TO,Dois Irmãos do Tocantins
28/09/2021,0.25,0,,TO,Itacajá
07/06/2021,0.3,0,,TO,Cariri do Tocantins
28/09/2021,0.1,0,,TO,Itapiratins
28/09/2021,0.26,0,,TO,Dois Irmãos do Tocantins
28/09/2021,0.04,0,,TO,Itapiratins
07/06/2021,0.26,0,,TO,Cariri do Tocantins
28/09/2021,0.38,0,,TO,Itacajá
28/09/2021,0.21,0,,TO,Itacajá
07/06/2021,0.26,0,,TO,Divinópolis do Tocantins
28/09/2021,0.16,0,,TO,Itapiratins
22/08/2021,1.19,0,,TO,Paranã
28/09/2021,0.35,0,,TO,Palmeirante
28/09/2021,0.23,0,,TO,Palmeirante
07/06/2021,0.27,0,,TO,Abreulândia
07/06/2021,0.15,0,,TO,Araguaçu
07/06/2021,0.13,0,,TO,Marianópolis do Tocantins
02/06/2021,0.2,0,,TO,Babaçulândia
07/06/2021,0.14,0,,TO,Pequizeiro
07/06/2021,0.17,0,,TO,Dois Irmãos do Tocantins
07/06/2021,0.1,0,,TO,Dois Irmãos do Tocantins
07/08/2021,0.11,0,,TO,Babaçulândia
07/06/2021,0.19,0,,TO,Dueré
07/06/2021,0.07,0,,TO,Formoso do Araguaia
19/08/2021,0.14,0,,TO,Santa Rosa do Tocantins
19/08/2021,0.11,0,,TO,Peixe
12/10/2021,0.12,0,,TO,Araguacema
19/08/2021,0.11,0,,TO,Santa Rosa do Tocantins
19/08/2021,0.29,0,,TO,Peixe
02/06/2021,0.25,0,,TO,Taguatinga
08/11/2021,0.07,0,,TO,Santa Terezinha do Tocantins
19/08/2021,0.29,0,,TO,Peixe
07/06/2021,0.11,0,,TO,Formoso do Araguaia
19/08/2021,0.69,0,,TO,Palmeirante
08/11/2021,0.13,0,,TO,Aguiarnópolis
19/08/2021,0.35,0,,TO,Gurupi
07/06/2021,0.18,0,,TO,Sandolândia
28/08/2021,0.36,0,,TO,Mateiros
19/08/2021,0.23,0,,TO,Gurupi
19/08/2021,0.56,0,,TO,Peixe
07/06/2021,0.14,0,,TO,Abreulândia
07/06/2021,0.15,0,,TO,Caseara
19/08/2021,0.64,0,,TO,Gurupi
19/08/2021,0.55,0,,TO,Peixe
19/08/2021,0,0,,TO,São Valério
19/08/2021,0.2,0,,TO,Formoso do Araguaia
07/06/2021,0.5,0,,TO,Araguacema
30/05/2021,0.08,0,,TO,Darcinópolis
10/06/2021,0.2,0,,TO,Araguacema
04/07/2021,0.27,0,,TO,Taguatinga
07/06/2021,0.65,0,,TO,Pequizeiro
07/07/2021,0.37,0,,TO,Taguatinga
24/10/2021,0.13,0,,TO,Araguaína
10/05/2021,0.57,0,,TO,Tupiratins
07/06/2021,0.24,0,,TO,Araguaçu
08/11/2021,0.21,0,,TO,Santa Terezinha do Tocantins
10/06/2021,0.26,0,,TO,Rio Sono
08/11/2021,0.4,0,,TO,Babaçulândia
28/09/2021,0.14,0,,TO,Lizarda
03/07/2021,0.28,0,,TO,Dueré
19/08/2021,0.61,0,,TO,Divinópolis do Tocantins
03/07/2021,0.53,0,,TO,Cristalândia
03/07/2021,0.48,0,,TO,Dueré
10/06/2021,0.2,0,,TO,Rio Sono
02/06/2021,0.75,0,,TO,Mateiros
21/05/2021,0.68,0,,TO,Palmas
02/06/2021,0.96,0,,TO,Lagoa da Confusão
02/06/2021,0.84,0,,TO,Santa Rita do Tocantins
02/06/2021,0.25,0,,TO,Araguatins
02/06/2021,0.16,0,,TO,Araguatins
02/06/2021,0.07,0,,TO,São Bento do Tocantins
02/06/2021,0.19,0,,TO,São Bento do Tocantins
02/06/2021,0.17,0,,TO,São Bento do Tocantins
02/06/2021,0.2,0,,TO,Cachoeirinha
05/06/2021,0.3,0,,TO,Taguatinga
28/11/2021,0.14,0,,TO,Araguacema
02/06/2021,0.08,0,,TO,Tocantinópolis
19/11/2021,0.05,0,,TO,Couto Magalhães
16/08/2021,0.76,0,,TO,Arraias
02/06/2021,0.26,0,,TO,Palmeirante
02/06/2021,0.27,0,,TO,Darcinópolis
02/06/2021,0.2,0,,TO,Palmeirante
16/08/2021,1.51,0,,TO,Peixe
10/05/2021,2.19,0,,TO,Goiatins
02/06/2021,0,0,,TO,Tocantínia
02/06/2021,0.65,0,,TO,Rio Sono
